word,pos_tag,spoken_frequency_zipf,log_phonotactic_probability,lexical_competition_risk,phonetic_instability,cluster_label
carbon,NOUN,4.55,-4.799841690414041,0.0,1,0
catholic,NOUN,4.55,-5.684068086547102,0.0,1,0
chose,NOUN,4.55,-7.357313350400926,34.33,1,3
circle,NOUN,4.55,-4.934407855313879,9.07,1,0
concert,NOUN,4.55,-4.715133500513234,0.0,1,0
crash,NOUN,4.55,-5.906252454526806,4.92,0,0
declared,VERB,4.55,-5.3573924395356025,0.0,1,0
deliver,NOUN,4.55,-5.359193269933041,9.21,0,0
depth,NOUN,4.55,-7.00145076310946,5.4,1,3
deputy,NOUN,4.55,-6.2145431005346,0.0,1,0
dirty,NOUN,4.55,-5.974674295600511,4.71,0,0
doctors,NOUN,4.55,-5.624174938579167,4.9,1,0
earned,VERB,4.55,-5.458734975954336,24.86,1,0
electronic,ADJ,4.55,-5.47136684225018,0.0,2,1
error,NOUN,4.55,-6.01326035947844,15.7,0,0
existence,NOUN,4.55,-4.729969528458852,0.0,2,1
experiences,NOUN,4.55,-4.939569372862534,0.0,3,1
expression,NOUN,4.55,-4.855718336506236,0.0,2,1
factory,NOUN,4.55,-5.766243155998806,9.31,0,0
headed,VERB,4.55,-5.551659849943186,0.0,2,1
interior,NOUN,4.55,-4.636103732758017,0.0,0,0
joy,NOUN,4.55,-8.657432747830825,24.950000000000003,0,3
jr,NOUN,4.55,-6.992398553051242,0.0,0,3
legislation,NOUN,4.55,-5.075709958933178,0.0,2,1
maintenance,NOUN,4.55,-4.873972933072759,0.0,3,1
manner,NOUN,4.55,-5.580261267176079,15.82,0,0
mate,NOUN,4.55,-5.6235711658120255,98.29999999999998,1,4
matt,NOUN,4.55,-6.176975183615341,79.27,1,4
nearby,ADV,4.55,-6.195075115319877,0.0,0,3
noise,NOUN,4.55,-9.201479743543986,20.050000000000004,1,3
origin,NOUN,4.55,-4.656133008671642,0.0,2,1
pakistan,NOUN,4.55,-5.171235477330253,0.0,0,0
panel,NOUN,4.55,-4.798748867118001,4.85,1,0
personality,NOUN,4.55,-5.076759071088184,0.0,1,0
plate,NOUN,4.55,-5.578068307073566,46.06999999999999,1,0
practices,NOUN,4.55,-5.122548901098999,0.0,3,1
prepare,NOUN,4.55,-5.372609971129892,4.74,0,0
relief,NOUN,4.55,-5.34696364107008,4.46,1,0
replaced,VERB,4.55,-5.137105390742286,4.58,1,0
resistance,NOUN,4.55,-4.593968163580219,0.0,2,1
retail,ADJ,4.55,-5.571452428359295,0.0,0,0
rice,NOUN,4.55,-6.656887617153168,51.23000000000001,1,4
roads,NOUN,4.55,-6.2975658841435145,10.06,1,3
roof,NOUN,4.55,-7.030261953474934,24.190000000000005,1,3
shame,NOUN,4.55,-7.854427901742377,26.059999999999995,0,3
ships,NOUN,4.55,-6.472828460724354,9.51,1,3
somewhat,ADV,4.55,-5.429148408403692,0.0,1,0
staying,VERB,4.55,-4.819397356633032,5.37,0,0
stronger,ADJ,4.55,-5.544555557891118,5.22,1,0
surely,ADV,4.55,-6.0573693344957,0.0,0,0
tip,NOUN,4.55,-5.032591067749269,39.01,1,0
updated,VERB,4.55,-5.442947841016136,0.0,3,1
writers,NOUN,4.55,-5.566772140572249,4.69,1,0
absolute,NOUN,4.54,-5.356732805407116,0.0,2,1
advertising,NOUN,4.54,-5.688484093912179,0.0,0,0
agencies,NOUN,4.54,-4.977948379793972,4.87,2,1
baseball,NOUN,4.54,-6.53857386795122,0.0,0,3
bathroom,NOUN,4.54,-6.942326020032332,0.0,0,3
bible,ADJ,4.54,-5.156715378964432,0.0,1,0
cable,NOUN,4.54,-5.105126759138993,10.48,1,0
calm,NOUN,4.54,-6.032482394139421,46.120000000000005,0,4
championship,NOUN,4.54,-5.382738646192207,0.0,2,1
checked,NOUN,4.54,-5.883704911640932,9.829999999999998,1,0
client,NOUN,4.54,-4.7438864253013255,0.0,2,1
constant,ADJ,4.54,-4.563829605956549,0.0,3,1
da,NOUN,4.54,-6.498610283306451,49.52,0,4
dates,NOUN,4.54,-5.428817928212972,15.439999999999998,1,0
degrees,NOUN,4.54,-5.2924545862796615,4.94,1,0
democrats,NOUN,4.54,-5.598428359018855,0.0,2,1
doors,NOUN,4.54,-5.4182637405342815,9.67,1,0
driven,NOUN,4.54,-4.782790809503402,0.0,1,0
dumb,NOUN,4.54,-5.215959801763266,16.45,0,0
empire,NOUN,4.54,-6.468152869211726,0.0,0,3
exciting,VERB,4.54,-4.920801902737463,0.0,0,0
expansion,NOUN,4.54,-4.8685122283246,0.0,2,1
heavily,ADV,4.54,-5.162416782674819,0.0,1,0
hide,NOUN,4.54,-6.776034274121064,60.97,1,4
incident,NOUN,4.54,-4.440755504564054,0.0,3,1
irish,ADJ,4.54,-5.585762133825584,0.0,0,0
linked,VERB,4.54,-4.953243657454859,9.71,1,0
manage,NOUN,4.54,-5.571859875446099,9.73,1,0
messages,NOUN,4.54,-5.764230174624229,0.0,3,1
michigan,NOUN,4.54,-5.073062445743923,0.0,1,0
multi,NOUN,4.54,-4.906119885440777,0.0,0,0
politicians,NOUN,4.54,-4.842971895102775,0.0,3,1
print,NOUN,4.54,-4.423754873042408,4.72,1,0
quit,NOUN,4.54,-5.833340059039877,14.78,1,0
refused,VERB,4.54,-5.948960767581258,0.0,2,1
reporting,NOUN,4.54,-4.957366602091944,0.0,0,0
sight,NOUN,4.54,-6.430856724458778,97.02,1,4
significantly,ADV,4.54,-5.047295647769044,0.0,2,1
sing,VERB,4.54,-4.548585714599383,39.86999999999999,0,0
soviet,ADJ,4.54,-6.990376307670474,0.0,2,3
weapon,NOUN,4.54,-4.820937260525975,4.75,1,0
wet,NOUN,4.54,-6.449330931610178,89.36,1,4
widely,ADV,4.54,-5.96858821710701,0.0,0,0
worldwide,NOUN,4.54,-6.729952248703952,0.0,2,1
ages,NOUN,4.53,-6.156754370813342,4.62,2,1
anniversary,NOUN,4.53,-5.746835080140342,0.0,1,0
attractive,ADJ,4.53,-5.17821169696201,0.0,2,1
bike,NOUN,4.53,-7.305162935712571,21.59,1,3
broad,ADJ,4.53,-6.842117362401265,9.66,1,3
burn,NOUN,4.53,-6.678868253040862,38.08,0,3
cake,NOUN,4.53,-6.606259062696985,51.56999999999999,1,4
